Tue Dec 13 14:38:39 2022 Epoch 121, lr: 0.0000353, val loss: 75.63732, acc: 78.37000
Tue Dec 13 14:38:42 2022 Epoch 105, lr: 0.0000476, val loss: 82.97935, acc: 72.36000
Tue Dec 13 14:38:57 2022 Epoch 122, lr: 0.0000345, val loss: 76.10925, acc: 78.47000
Tue Dec 13 14:39:04 2022 Epoch 106, lr: 0.0000469, val loss: 80.20135, acc: 73.37000
Tue Dec 13 14:39:16 2022 Epoch 123, lr: 0.0000338, val loss: 77.14648, acc: 78.33000
Tue Dec 13 14:39:25 2022 Epoch 107, lr: 0.0000461, val loss: 81.25175, acc: 72.96000
Tue Dec 13 14:39:35 2022 Epoch 124, lr: 0.0000331, val loss: 76.47175, acc: 78.38000
Tue Dec 13 14:39:46 2022 Epoch 108, lr: 0.0000453, val loss: 81.14666, acc: 73.20000
Tue Dec 13 14:39:54 2022 Epoch 125, lr: 0.0000323, val loss: 76.19165, acc: 78.61000
Tue Dec 13 14:40:07 2022 Epoch 109, lr: 0.0000445, val loss: 82.23408, acc: 72.36000
Tue Dec 13 14:40:12 2022 Epoch 126, lr: 0.0000316, val loss: 77.06909, acc: 78.16000
Tue Dec 13 14:40:29 2022 Epoch 110, lr: 0.0000437, val loss: 79.68875, acc: 73.55000
Tue Dec 13 14:40:31 2022 Epoch 127, lr: 0.0000309, val loss: 77.94585, acc: 78.39000
Tue Dec 13 14:40:50 2022 Epoch 128, lr: 0.0000301, val loss: 78.25888, acc: 78.24000
Tue Dec 13 14:40:51 2022 Epoch 111, lr: 0.0000430, val loss: 80.04693, acc: 73.54000
Tue Dec 13 14:41:09 2022 Epoch 129, lr: 0.0000294, val loss: 78.95715, acc: 78.08000
Tue Dec 13 14:41:13 2022 Epoch 112, lr: 0.0000422, val loss: 81.70815, acc: 72.83000
Tue Dec 13 14:41:28 2022 Epoch 130, lr: 0.0000287, val loss: 78.08382, acc: 78.39000
Tue Dec 13 14:41:34 2022 Epoch 113, lr: 0.0000414, val loss: 79.91009, acc: 73.21000
Tue Dec 13 14:41:47 2022 Epoch 131, lr: 0.0000280, val loss: 78.94827, acc: 78.42000
Tue Dec 13 14:41:56 2022 Epoch 114, lr: 0.0000406, val loss: 79.64600, acc: 73.66000
Tue Dec 13 14:42:06 2022 Epoch 132, lr: 0.0000273, val loss: 79.18847, acc: 78.26000
Tue Dec 13 14:42:18 2022 Epoch 115, lr: 0.0000399, val loss: 80.85321, acc: 73.49000
Tue Dec 13 14:42:24 2022 Epoch 133, lr: 0.0000266, val loss: 79.84457, acc: 78.38000
Tue Dec 13 14:42:40 2022 Epoch 116, lr: 0.0000391, val loss: 79.97837, acc: 73.30000
Tue Dec 13 14:42:43 2022 Epoch 134, lr: 0.0000259, val loss: 78.88608, acc: 78.46000
Tue Dec 13 14:43:02 2022 Epoch 117, lr: 0.0000383, val loss: 81.02014, acc: 73.01000
Tue Dec 13 14:43:03 2022 Epoch 135, lr: 0.0000252, val loss: 78.07427, acc: 78.37000
Tue Dec 13 14:43:22 2022 Epoch 136, lr: 0.0000245, val loss: 79.32644, acc: 78.47000
Tue Dec 13 14:43:23 2022 Epoch 118, lr: 0.0000376, val loss: 79.98340, acc: 73.47000
Tue Dec 13 14:43:41 2022 Epoch 137, lr: 0.0000239, val loss: 79.64446, acc: 78.27000
Tue Dec 13 14:43:45 2022 Epoch 119, lr: 0.0000368, val loss: 79.65776, acc: 73.25000
Tue Dec 13 14:43:59 2022 Epoch 138, lr: 0.0000232, val loss: 80.13442, acc: 78.51000
